nb_nodes,seed,algo,time
23,5,glouton,0.3344
23,6,glouton,0.2981
23,7,glouton,0.311
23,8,glouton,0.3155
23,9,glouton,0.2959
24,0,glouton,0.331
24,1,glouton,0.3055
24,2,glouton,0.3245
24,3,glouton,0.3034
24,4,glouton,0.3258
24,5,glouton,0.3273
24,6,glouton,0.3309
24,7,glouton,0.3468
24,8,glouton,0.3379
24,9,glouton,0.3143
25,0,glouton,0.3817
25,1,glouton,0.3738
25,2,glouton,0.3365
25,3,glouton,0.3911
25,4,glouton,0.3229
25,5,glouton,0.3592
25,6,glouton,0.3333
25,7,glouton,0.365
25,8,glouton,0.3972
25,9,glouton,0.3731
26,0,glouton,0.4146
26,1,glouton,0.3825
26,2,glouton,0.3507
26,3,glouton,0.3481
26,4,glouton,0.3341
26,5,glouton,0.3687
26,6,glouton,0.3938
26,7,glouton,0.4265
26,8,glouton,0.4076
26,9,glouton,0.828
27,0,glouton,0.4383
27,1,glouton,0.4687
27,2,glouton,0.3845
27,3,glouton,0.4744
27,4,glouton,0.39
27,5,glouton,0.407
27,6,glouton,0.4464
27,7,glouton,0.4473
27,8,glouton,0.4139
27,9,glouton,0.4117
28,0,glouton,0.4366
28,1,glouton,0.4352
28,2,glouton,0.4215
28,3,glouton,0.4782
28,4,glouton,0.4053
28,5,glouton,0.4271
28,6,glouton,0.4236
28,7,glouton,0.4272
28,8,glouton,0.4419
28,9,glouton,0.5122
29,0,glouton,0.533
29,1,glouton,0.4562
29,2,glouton,0.4734
29,3,glouton,0.4834
29,4,glouton,0.4676
29,5,glouton,0.4391
29,6,glouton,0.4931
29,7,glouton,0.5031
29,8,glouton,0.4741
29,9,glouton,0.5811
30,0,glouton,0.5463
30,1,glouton,0.5034
30,2,glouton,0.5165
30,3,glouton,0.5242
30,4,glouton,0.4553
30,5,glouton,0.4736
30,6,glouton,0.5331
30,7,glouton,0.5716
30,8,glouton,0.5227
30,9,glouton,0.7819
31,0,glouton,0.5653
31,1,glouton,0.5322
31,2,glouton,0.7264
31,3,glouton,0.5263
31,4,glouton,0.4968
31,5,glouton,0.5164
31,6,glouton,0.562
31,7,glouton,0.557
31,8,glouton,0.5407
31,9,glouton,0.6762
32,0,glouton,0.5952
32,1,glouton,0.5364
32,2,glouton,0.5497
32,3,glouton,0.5485
32,4,glouton,0.5117
32,5,glouton,0.5486
32,6,glouton,0.5326
32,7,glouton,0.6458
32,8,glouton,0.5983
32,9,glouton,0.5635
33,0,glouton,0.6477
33,1,glouton,0.5732
33,2,glouton,0.5597
33,3,glouton,0.8692
33,4,glouton,0.5769
33,5,glouton,0.5857
33,6,glouton,0.5714
33,7,glouton,0.6428
33,8,glouton,0.6017
33,9,glouton,0.5762
34,0,glouton,0.7269
34,1,glouton,0.6545
34,2,glouton,0.5975
34,3,glouton,0.685
34,4,glouton,0.6094
34,5,glouton,0.5802
34,6,glouton,0.6466
34,7,glouton,0.664
34,8,glouton,0.6092
34,9,glouton,0.6324
35,0,glouton,0.7031
35,1,glouton,0.7147
35,2,glouton,0.6664
35,3,glouton,0.6911
35,4,glouton,0.7014
35,5,glouton,0.6774
35,6,glouton,0.6683
35,7,glouton,0.7012
35,8,glouton,0.6547
35,9,glouton,0.6493
36,0,glouton,0.7273
36,1,glouton,0.751
36,2,glouton,0.6927
36,3,glouton,0.7017
36,4,glouton,0.7278
36,5,glouton,0.6713
36,6,glouton,0.6995
36,7,glouton,0.7519
36,8,glouton,0.8027
36,9,glouton,0.731
37,0,glouton,0.7781
37,1,glouton,0.7892
37,2,glouton,0.762
37,3,glouton,0.7296
37,4,glouton,0.7362
37,5,glouton,0.7699
37,6,glouton,0.7363
37,7,glouton,0.7429
37,8,glouton,0.7748
37,9,glouton,0.7873
38,0,glouton,0.8141
38,1,glouton,0.8273
38,2,glouton,0.7672
38,3,glouton,0.8254
38,4,glouton,0.8074
38,5,glouton,0.7483
38,6,glouton,0.781
38,7,glouton,0.8048
38,8,glouton,0.8267
38,9,glouton,0.7954
39,0,glouton,0.8361
39,1,glouton,1.2315
39,2,glouton,0.806
39,3,glouton,0.8352
39,4,glouton,0.83
39,5,glouton,0.7985
39,6,glouton,0.8367
39,7,glouton,0.8671
39,8,glouton,0.8308
39,9,glouton,0.8184
40,0,glouton,0.8631
40,1,glouton,0.8905
40,2,glouton,0.8462
40,3,glouton,0.8536
40,4,glouton,1.0991
40,5,glouton,0.8124
40,6,glouton,1.1478
40,7,glouton,0.8893
40,8,glouton,0.8684
40,9,glouton,0.819
41,0,glouton,0.8924
41,1,glouton,0.9131
41,2,glouton,0.8591
41,3,glouton,0.9535
41,4,glouton,0.852
41,5,glouton,0.8524
41,6,glouton,0.8809
41,7,glouton,0.8652
41,8,glouton,0.9094
41,9,glouton,0.8509
42,0,glouton,0.9043
42,1,glouton,0.8715
42,2,glouton,1.0895
42,3,glouton,0.9007
42,4,glouton,0.8716
42,5,glouton,1.0762
42,6,glouton,0.9326
42,7,glouton,1.0199
42,8,glouton,0.9127
42,9,glouton,0.9942
43,0,glouton,0.9702
43,1,glouton,0.9885
43,2,glouton,0.9852
43,3,glouton,0.9818
43,4,glouton,0.9864
43,5,glouton,0.9862
43,6,glouton,0.9502
43,7,glouton,1.0192
43,8,glouton,0.9673
43,9,glouton,1.0416
44,0,glouton,1.0866
44,1,glouton,0.9894
44,2,glouton,0.9855
44,3,glouton,1.1053
44,4,glouton,0.9917
44,5,glouton,0.9839
44,6,glouton,1.0016
44,7,glouton,1.0562
44,8,glouton,1.0269
44,9,glouton,3.7006
45,0,glouton,1.3816
45,1,glouton,1.0565
45,2,glouton,1.0659
45,3,glouton,1.0123
45,4,glouton,1.1868
45,5,glouton,1.031
45,6,glouton,1.028
45,7,glouton,1.0791
45,8,glouton,1.1568
45,9,glouton,0.9994
46,0,glouton,1.1044
46,1,glouton,1.0988
46,2,glouton,1.069
46,3,glouton,1.1253
46,4,glouton,1.0859
46,5,glouton,1.1035
46,6,glouton,1.0722
46,7,glouton,1.1983
46,8,glouton,1.0909
46,9,glouton,1.0772
47,0,glouton,1.1478
47,1,glouton,1.1598
47,2,glouton,1.1118
47,3,glouton,1.2317
47,4,glouton,1.1092
47,5,glouton,1.1467
47,6,glouton,1.0946
47,7,glouton,1.1445
47,8,glouton,1.1359
47,9,glouton,1.093
48,0,glouton,1.2099
48,1,glouton,1.1409
48,2,glouton,1.1873
48,3,glouton,1.199
48,4,glouton,1.1402
48,5,glouton,1.1888
48,6,glouton,1.116
48,7,glouton,1.6266
48,8,glouton,1.1453
48,9,glouton,1.127
49,0,glouton,1.2088
49,1,glouton,1.1948
49,2,glouton,1.1418
49,3,glouton,1.2224
49,4,glouton,1.4631
49,5,glouton,1.1706
49,6,glouton,1.1253
49,7,glouton,1.2034
49,8,glouton,1.1885
49,9,glouton,1.2278
50,0,glouton,1.2996
50,1,glouton,1.2652
50,2,glouton,1.2247
50,3,glouton,1.5319
50,4,glouton,1.2567
50,5,glouton,1.2566
50,6,glouton,1.2184
50,7,glouton,1.5106
50,8,glouton,1.3166
50,9,glouton,1.2553
51,0,glouton,1.3401
51,1,glouton,1.2699
51,2,glouton,1.3097
51,3,glouton,1.3162
51,4,glouton,1.413
51,5,glouton,1.2677
51,6,glouton,1.2531
51,7,glouton,1.4282
51,8,glouton,1.4064
51,9,glouton,1.2685
52,0,glouton,1.41
52,1,glouton,1.3754
52,2,glouton,1.3518
52,3,glouton,1.3996
52,4,glouton,1.3854
52,5,glouton,1.3289
52,6,glouton,1.3138
52,7,glouton,1.4444
52,8,glouton,1.3539
52,9,glouton,1.2778
53,0,glouton,1.384
53,1,glouton,1.7182
53,2,glouton,1.3012
53,3,glouton,1.4208
53,4,glouton,1.3335
53,5,glouton,1.3548
53,6,glouton,1.3748
53,7,glouton,1.4988
53,8,glouton,1.4223
53,9,glouton,1.4105
54,0,glouton,1.5359
54,1,glouton,1.4614
54,2,glouton,2.163
54,3,glouton,1.4879
54,4,glouton,1.4072
54,5,glouton,1.4487
54,6,glouton,1.51
54,7,glouton,1.5439
54,8,glouton,1.9791
54,9,glouton,1.4389
55,0,glouton,1.5244
55,1,glouton,1.5587
55,2,glouton,1.4954
55,3,glouton,1.5158
55,4,glouton,1.4869
55,5,glouton,1.491
55,6,glouton,1.5953
55,7,glouton,1.5556
55,8,glouton,1.599
55,9,glouton,1.4805
56,0,glouton,1.5079
56,1,glouton,1.5253
56,2,glouton,1.5119
56,3,glouton,1.5631
56,4,glouton,1.4398
56,5,glouton,1.9175
56,6,glouton,1.4543
56,7,glouton,1.5718
56,8,glouton,2.6492
56,9,glouton,1.512
57,0,glouton,1.5694
57,1,glouton,1.551
57,2,glouton,2.211
57,3,glouton,1.6143
57,4,glouton,1.7155
57,5,glouton,1.8229
57,6,glouton,1.6944
57,7,glouton,1.735
57,8,glouton,1.7065
57,9,glouton,1.629
58,0,glouton,1.6657
58,1,glouton,1.654
58,2,glouton,1.6331
58,3,glouton,2.4788
58,4,glouton,2.569
58,5,glouton,2.7116
58,6,glouton,1.7849
58,7,glouton,1.8936
58,8,glouton,1.9126
58,9,glouton,1.5353
59,0,glouton,1.7209
59,1,glouton,1.7472
59,2,glouton,1.7185
59,3,glouton,1.6512
59,4,glouton,1.6841
59,5,glouton,1.7042
59,6,glouton,1.6287
59,7,glouton,1.7076
59,8,glouton,1.6784
59,9,glouton,1.6741
60,0,glouton,1.7467
60,1,glouton,1.7434
60,2,glouton,1.7462
60,3,glouton,1.8069
60,4,glouton,1.7593
60,5,glouton,1.8223
60,6,glouton,1.7434
60,7,glouton,1.8567
60,8,glouton,1.7974
60,9,glouton,1.7744
61,0,glouton,1.9413
61,1,glouton,1.8372
61,2,glouton,1.7862
61,3,glouton,1.9043
61,4,glouton,1.861
61,5,glouton,1.8637
61,6,glouton,2.0398
61,7,glouton,1.9386
61,8,glouton,1.875
61,9,glouton,1.7407
62,0,glouton,1.8678
62,1,glouton,1.8151
62,2,glouton,1.9439
62,3,glouton,1.8671
62,4,glouton,2.0314
62,5,glouton,1.8678
62,6,glouton,1.861
62,7,glouton,1.8537
62,8,glouton,1.7969
62,9,glouton,1.7555
63,0,glouton,1.8375
63,1,glouton,1.8936
63,2,glouton,1.9149
63,3,glouton,2.0734
63,4,glouton,2.3828
63,5,glouton,2.037
63,6,glouton,2.1721
63,7,glouton,2.0292
63,8,glouton,2.031
63,9,glouton,1.9869
64,0,glouton,2.0207
64,1,glouton,2.9795
64,2,glouton,2.0765
64,3,glouton,2.2105
64,4,glouton,1.9957
64,5,glouton,2.1208
64,6,glouton,2.4655
64,7,glouton,2.1458
64,8,glouton,2.0328
64,9,glouton,2.0077
65,0,glouton,2.0536
65,1,glouton,2.1045
65,2,glouton,2.013
65,3,glouton,2.0891
65,4,glouton,2.227
65,5,glouton,2.015
65,6,glouton,2.0705
65,7,glouton,2.0769
65,8,glouton,2.0254
65,9,glouton,1.895
66,0,glouton,2.0806
66,1,glouton,3.9576
66,2,glouton,2.0653
66,3,glouton,2.1826
66,4,glouton,2.1502
66,5,glouton,2.275
66,6,glouton,2.1724
66,7,glouton,2.1989
66,8,glouton,2.1666
66,9,glouton,2.2327
67,0,glouton,2.2888
67,1,glouton,2.249
67,2,glouton,2.347
67,3,glouton,2.2929
67,4,glouton,2.3004
67,5,glouton,2.3025
67,6,glouton,2.1951
67,7,glouton,2.2864
67,8,glouton,2.2398
67,9,glouton,2.204
68,0,glouton,2.3704
68,1,glouton,2.3157
68,2,glouton,2.3244
68,3,glouton,2.6411
68,4,glouton,2.4172
68,5,glouton,2.2886
68,6,glouton,2.2695
68,7,glouton,2.2909
68,8,glouton,2.3232
68,9,glouton,2.2781
69,0,glouton,2.6051
69,1,glouton,2.2979
69,2,glouton,2.2359
69,3,glouton,2.3989
69,4,glouton,2.2636
69,5,glouton,3.0487
69,6,glouton,2.4387
69,7,glouton,3.295
69,8,glouton,2.362
69,9,glouton,2.6195
70,0,glouton,2.409
70,1,glouton,2.4536
70,2,glouton,3.3988
70,3,glouton,2.592
70,4,glouton,2.4822
70,5,glouton,2.4548
70,6,glouton,2.7496
70,7,glouton,2.8461
70,8,glouton,2.5237
70,9,glouton,2.3214
71,0,glouton,2.5687
71,1,glouton,2.5002
71,2,glouton,2.5344
71,3,glouton,2.6752
71,4,glouton,2.6425
71,5,glouton,2.5573
71,6,glouton,2.3775
71,7,glouton,3.9894
71,8,glouton,2.3359
71,9,glouton,2.5559
72,0,glouton,2.5822
72,1,glouton,2.5308
72,2,glouton,2.6229
72,3,glouton,2.6801
72,4,glouton,2.5995
72,5,glouton,2.6846
72,6,glouton,3.038
72,7,glouton,2.6417
72,8,glouton,2.5255
72,9,glouton,2.4835
73,0,glouton,2.974
73,1,glouton,2.6832
73,2,glouton,2.639
73,3,glouton,3.0658
73,4,glouton,2.6162
73,5,glouton,2.6397
73,6,glouton,2.6349
73,7,glouton,2.6093
73,8,glouton,2.5101
73,9,glouton,3.1038
74,0,glouton,2.8049
74,1,glouton,2.8349
74,2,glouton,2.7422
74,3,glouton,3.8113
74,4,glouton,2.7601
74,5,glouton,2.7475
74,6,glouton,2.9099
74,7,glouton,2.8561
74,8,glouton,2.7946
74,9,glouton,2.8014
75,0,glouton,2.8198
75,1,glouton,2.9475
75,2,glouton,2.757
75,3,glouton,2.7611
75,4,glouton,2.8344
75,5,glouton,3.5598
75,6,glouton,2.7435
75,7,glouton,2.8389
75,8,glouton,3.0423
75,9,glouton,2.827
76,0,glouton,2.7677
76,1,glouton,2.7974
76,2,glouton,2.879
76,3,glouton,2.8372
76,4,glouton,2.6778
76,5,glouton,2.7419
76,6,glouton,3.4082
76,7,glouton,2.853
76,8,glouton,2.9455
76,9,glouton,2.8635
77,0,glouton,2.9659
77,1,glouton,2.8608
77,2,glouton,2.9575
77,3,glouton,3.0554
77,4,glouton,2.9944
77,5,glouton,2.9696
77,6,glouton,2.8882
77,7,glouton,3.2545
77,8,glouton,3.0204
77,9,glouton,3.1464
78,0,glouton,3.0258
78,1,glouton,2.8538
78,2,glouton,2.8932
78,3,glouton,2.9278
78,4,glouton,2.9001
78,5,glouton,2.9992
78,6,glouton,3.8649
78,7,glouton,2.98
78,8,glouton,2.9755
78,9,glouton,2.9062
79,0,glouton,3.2882
79,1,glouton,7.155
79,2,glouton,2.9639
79,3,glouton,3.014
79,4,glouton,3.2037
79,5,glouton,3.0476
79,6,glouton,3.1689
79,7,glouton,3.3514
79,8,glouton,3.1744
79,9,glouton,3.0363
80,0,glouton,3.2122
80,1,glouton,3.2159
80,2,glouton,3.1117
80,3,glouton,3.2303
80,4,glouton,3.0958
80,5,glouton,3.2682
80,6,glouton,3.1284
80,7,glouton,10.4824
80,8,glouton,3.3691
80,9,glouton,3.4689
81,0,glouton,3.3269
81,1,glouton,3.3804
81,2,glouton,3.5162
81,3,glouton,3.1934
81,4,glouton,3.8665
81,5,glouton,4.9712
81,6,glouton,3.2984
81,7,glouton,3.2425
81,8,glouton,3.1304
81,9,glouton,3.0848
82,0,glouton,3.5923
82,1,glouton,3.6259
82,2,glouton,3.5292
82,3,glouton,3.4025
82,4,glouton,3.339
82,5,glouton,4.5958
82,6,glouton,3.3132
82,7,glouton,4.4787
82,8,glouton,3.3897
82,9,glouton,3.1862
83,0,glouton,3.3224
83,1,glouton,3.324
83,2,glouton,3.7049
83,3,glouton,3.5092
