nb_nodes,seed,algo,time,ans
20,6,glouton,0.2845,15
20,7,glouton,0.2408,12
20,8,glouton,0.2612,12
20,9,glouton,0.2415,12
21,0,glouton,0.2584,13
21,1,glouton,0.2555,11
21,2,glouton,0.2554,12
21,3,glouton,0.2918,13
21,4,glouton,0.256,13
21,5,glouton,0.2564,12
21,6,glouton,0.3148,15
21,7,glouton,0.2719,13
21,8,glouton,0.2733,13
21,9,glouton,0.4469,13
22,0,glouton,0.2857,13
22,1,glouton,0.2769,12
22,2,glouton,0.2769,12
22,3,glouton,0.3263,14
22,4,glouton,0.3068,12
22,5,glouton,0.302,13
22,6,glouton,0.301,14
22,7,glouton,0.3185,14
22,8,glouton,0.3056,13
22,9,glouton,0.3276,14
23,0,glouton,0.3175,13
23,1,glouton,0.283,12
23,2,glouton,0.2993,13
23,3,glouton,0.3044,13
23,4,glouton,0.2921,12
23,5,glouton,0.3344,15
23,6,glouton,0.2981,13
23,7,glouton,0.311,14
23,8,glouton,0.3155,14
23,9,glouton,0.2959,13
24,0,glouton,0.331,14
24,1,glouton,0.3055,13
24,2,glouton,0.3245,14
24,3,glouton,0.3034,12
24,4,glouton,0.3258,13
24,5,glouton,0.3273,13
24,6,glouton,0.3309,14
24,7,glouton,0.3468,14
24,8,glouton,0.3379,15
24,9,glouton,0.3143,13
25,0,glouton,0.3817,15
25,1,glouton,0.3738,14
25,2,glouton,0.3365,14
25,3,glouton,0.3911,15
25,4,glouton,0.3229,13
25,5,glouton,0.3592,15
25,6,glouton,0.3333,12
25,7,glouton,0.365,15
25,8,glouton,0.3972,16
25,9,glouton,0.3731,16
26,0,glouton,0.4146,16
26,1,glouton,0.3825,16
26,2,glouton,0.3507,13
26,3,glouton,0.3481,13
26,4,glouton,0.3341,12
26,5,glouton,0.3687,13
26,6,glouton,0.3938,14
26,7,glouton,0.4265,16
26,8,glouton,0.4076,16
26,9,glouton,0.828,15
27,0,glouton,0.4383,16
27,1,glouton,0.4687,15
27,2,glouton,0.3845,14
27,3,glouton,0.4744,15
27,4,glouton,0.39,14
27,5,glouton,0.407,15
27,6,glouton,0.4464,16
27,7,glouton,0.4473,17
27,8,glouton,0.4139,14
27,9,glouton,0.4117,15
28,0,glouton,0.4366,15
28,1,glouton,0.4352,16
28,2,glouton,0.4215,14
28,3,glouton,0.4782,17
28,4,glouton,0.4053,14
28,5,glouton,0.4271,14
28,6,glouton,0.4236,15
28,7,glouton,0.4272,15
28,8,glouton,0.4419,16
28,9,glouton,0.5122,16
29,0,glouton,0.533,17
29,1,glouton,0.4562,15
29,2,glouton,0.4734,15
29,3,glouton,0.4834,17
29,4,glouton,0.4676,15
29,5,glouton,0.4391,15
29,6,glouton,0.4931,15
29,7,glouton,0.5031,18
29,8,glouton,0.4741,16
29,9,glouton,0.5811,16
30,0,glouton,0.5463,17
30,1,glouton,0.5034,17
30,2,glouton,0.5165,16
30,3,glouton,0.5242,18
